Label,Outcome,Estimate,Std.Err,P-value,N,BW,Donut,Method
Quantile: 0.25,total_downloads_52wk,414.8333267921789,38.91239612364605,1.6185991244269623e-26,80928,26,Yes,QuantReg(0.25)
Quantile: 0.5,total_downloads_52wk,621.4999991243312,80.71943395102282,1.3813068754878981e-14,80928,26,Yes,QuantReg(0.5)
Quantile: 0.75,total_downloads_52wk,1630.6363636364113,243.97906716884225,2.347931637705935e-11,80928,26,Yes,QuantReg(0.75)
Quantile: 0.9,total_downloads_52wk,4282.590906308964,742.2175368942573,7.956225436078463e-09,80928,26,Yes,QuantReg(0.9)
