Spec,Outcome,coef,se,p,n
"Full sample, PyPI",post_ai_downloads_alltime,-7.284670550979142,2.2003278479203723,0.0009305609908759029,88001
"Full sample, PyPI (-spikes)",post_ai_downloads_alltime,-1.5480003021998097,0.4283702528617935,0.00030186179310692475,79040
"Matched sample, PyPI",post_ai_downloads_alltime,-2.3378435115971854,2.590102514644094,0.36673474557839003,6582
"Matched sample, PyPI (-spikes)",post_ai_downloads_alltime,1.7667744683922408,1.0178310934260915,0.0825951627075785,6109
"Matched sample, GitHub",cum_imports_alltime,2.117302252802096,0.9225031636132254,0.02172334232223436,6582
"Matched sample, GitHub (-spikes)",cum_imports_alltime,1.7073769638290757,0.9857473050931719,0.08326225044445291,6109
"Matched sample, GitHub post_ai",post_ai_imports_alltime,1.869962636175618,1.0512350512403907,0.07526854356238466,6582
"Matched sample, GitHub post_ai (-spikes)",post_ai_imports_alltime,0.9909441121766954,0.9664754056185076,0.30521341797247836,6109
