Tier,Outcome,Excess_Jump,Std_Err,P_value,N
Broad,total_downloads_52wk,-1.2021245224110904,1.5211169448875315,0.4293580370712392,88001
Broad,post_ai_downloads_alltime,-9.138996432886985,4.424936790973489,0.03889089517241189,88001
Successful (min500@26w),total_downloads_52wk,-3.7237316190052097,1.6687595277671028,0.02565220164059077,75313
Successful (min500@26w),post_ai_downloads_alltime,-12.791775813949169,4.826844331235554,0.008046026918161172,75313
Superstar (min1000@26w),total_downloads_52wk,-0.21817555985814685,0.38654294347972673,0.5724630647975333,57931
Superstar (min1000@26w),post_ai_downloads_alltime,-0.5531040565571465,0.49171428851083365,0.26065325845379517,57931
