BW,Excess_Jump,Std_Err,P_value,N,Baseline_Adjusted
13,-12.791775813949169,4.826844331235554,0.008046026918161172,75313,False
13,-7.294185951618216,2.3929157817708098,0.0023018461530403935,75313,True
15,-10.803564293762602,3.10464311223761,0.0005017718187595563,92291,False
15,-6.301416480958142,1.4746944688490236,1.9283287269011552e-05,92291,True
18,-7.7860363017210386,2.2148808961458384,0.00043920857048379254,119296,False
18,-4.498182166322271,1.0583079852842523,2.1343419314242727e-05,119296,True
26,-4.273461072196458,1.4142044779640286,0.0025126595634969865,196602,False
26,-2.372441719836435,0.7194458666386423,0.0009751637721320624,196602,True
