Label,Outcome,Estimate,Std.Err,P-value,Estimate_Conv,Std.Err_Conv,P-value_Conv,N,BW,Donut,Method
Placebo: Placebo_2018,total_downloads_52wk,-26.741543950378404,2.744902435382193,1.9908342248256173e-22,0.09123360255576785,0.2997447943747293,0.7608453104584011,371865,13,Yes,rdrobust (Robust/Bias-Corrected)
Placebo: Placebo_2019,total_downloads_52wk,16.91169611887885,2.663586612829805,2.1641003854427703e-10,0.1784864660474561,0.23297911575096547,0.4436138266970653,387353,13,Yes,rdrobust (Robust/Bias-Corrected)
Placebo: Placebo_2020,total_downloads_52wk,9.620071884129626,1.6515866264785262,5.719967418383187e-09,4.2438862907476285,0.1414303803567364,7.978165960350182e-198,467876,13,Yes,rdrobust (Robust/Bias-Corrected)
Main: Median RDD (Post-AI),post_ai_downloads_alltime,1903.035714078549,715.4011657193606,0.007815932375525662,,,,30450,13,Yes,QuantReg(0.5)
