Outcome,Diff_in_Discontinuity,Std_Err,P-value,N
total_downloads_52wk,0.3962231998546455,0.294483412980287,0.17846845944008816,1303
cum_imports_52wk,0.2565038409487531,0.2919436025892989,0.3796141238838978,1303
post_ai_downloads_alltime,0.24456121135058284,0.5980008919145229,0.6825656207375457,1303
post_ai_imports_alltime,0.010595067147552095,0.5124624925749972,0.983505059569798,1303
