week_start,Post-cutoff,Pre-cutoff,log_ratio,pct_diff
2021-10-04,391.1850443599493,161.94885047228658,-0.8782974295701669,-58.60044937626267
2021-10-11,323.8290679304897,163.43806808055606,-0.6807650856586216,-49.52952521370372
2021-10-18,307.2976865997381,156.17682709447416,-0.6736943723443298,-49.17735020312799
2021-10-25,290.4538499916847,207.1343137254902,-0.3366980638223689,-28.685981015083755
2021-11-01,206.05471336469768,210.35146597824084,0.02053938913568043,2.0852483999908853
2021-11-08,167.97264280798348,166.18641759097102,-0.010627362096622406,-1.0634024607533064
2021-11-15,206.93880048959608,213.85508675078864,0.032719977772504905,3.3421892099641735
2021-11-22,173.65309852134905,155.24310041103934,-0.11138858214218583,-10.601594942486082
2021-11-29,217.41698977793445,217.66758784050532,0.0011466800837265367,0.11526149029421714
2021-12-06,177.50732404430153,179.65627466456195,0.01196655937187252,1.210626452643777
2021-12-13,224.379740074773,203.83430685358255,-0.09558532017809185,-9.15654560181941
2021-12-20,172.10298826040554,185.65164096480822,0.07535727175385709,7.872409910688183
2021-12-27,142.87264318747776,131.40074832611265,-0.08309519043780611,-8.029455188500762
2022-01-03,194.98480514837325,200.95622028526148,0.03001381117838875,3.0625028100750162
2022-01-10,186.99704142011834,203.26379279758737,0.08298603487779843,8.698935156371384
2022-01-17,195.80035714285714,243.27941467273087,0.21612291285267649,24.24870833878649
2022-01-24,215.42624977919095,203.62551293487957,-0.05606829934281343,-5.47785465160675
2022-01-31,225.11362402750134,234.00951625693895,0.03858837392078751,3.9517342710234304
2022-02-07,168.37139311200744,152.06279069767442,-0.1012456622079938,-9.686088659659593
2022-02-14,214.78387438249823,208.86362013566583,-0.027819433383351466,-2.756377434690141
2022-02-21,262.2098852603707,283.6119935748706,0.07817506990711998,8.162204980658117
2022-02-28,406.2595338983051,391.7254171104011,-0.03633997416156731,-3.577544789765396
2022-03-07,347.7116186333152,427.5723484170989,0.20621429191803564,22.967518341111894
2022-03-14,256.3048381229538,312.9676330420969,0.19902837856890176,22.107579136668885
2022-03-21,305.81738814114226,347.7756282409254,0.12817607272542375,13.720030883403659
2022-03-28,243.02151111111112,265.95525326651153,0.08982467189446819,9.436918588212935
2022-04-04,272.54876273653565,344.27173481540297,0.23285184664284575,26.315647650985547
2022-04-11,246.0207806288399,329.26110019646364,0.29041108914367086,33.834670126181145
2022-04-18,224.74765681326605,286.04029880086495,0.2402048071642886,27.271760185034783
2022-04-25,217.8975871313673,274.5073028237585,0.23001015399902247,25.979964458377424
2022-05-02,201.61785392245267,338.86172936773687,0.5172171446318119,68.07129069932054
2022-05-09,211.0859275441471,514.7418521462639,0.8886148426011671,143.85417736509666
2022-05-16,206.6343946985615,422.47646544181976,0.7127191256745729,104.45602294725857
2022-05-23,174.96769573520052,326.3315975138586,0.6206732855292181,86.50962747302515
2022-05-30,223.9124021125478,352.9285967399008,0.45338418621024257,57.61904807867857
2022-06-06,229.59348701061106,364.0788373860182,0.45945695932774466,58.57542046442794
2022-06-13,261.22899505766065,324.2123083051185,0.21526007641453937,24.11038377786341
2022-06-20,383.0194103644021,717.522572912505,0.6265040226102583,87.33321432192139
2022-06-27,217.46567547723936,260.01879624075184,0.17796351041962666,19.56774128612597
2022-07-04,226.75613777940637,286.65847322142287,0.23349843416917349,26.417073437849286
2022-07-11,239.6076274294096,331.36965213914436,0.3230802548531724,38.2967878335879
2022-07-18,300.4797794117647,381.6622,0.23844966837888304,27.017598570912938
2022-07-25,229.43594927403052,332.385124298316,0.3693254046543073,44.87055117126674
2022-08-01,192.78956805215975,233.98450305468634,0.1927466979339485,21.36782369437188
2022-08-08,292.77300275482094,379.92446043165467,0.2597937192427304,29.767586784570305
2022-08-15,357.2422119815668,434.9541174113404,0.19632767510486193,21.753281897656432
2022-08-22,369.96059657521636,483.49829488465394,0.26701806371995573,30.689132669931336
2022-08-29,306.0611615245009,438.3125978090767,0.35816427662559924,43.21078689822222
2022-09-05,242.70846594525779,343.2758835435155,0.34547062376186055,41.435479890075364
2022-09-12,334.9829295154185,492.93366633366634,0.3853408758359942,47.15187637971198
2022-09-19,350.449679943101,497.68395110410097,0.34990598762462444,42.01295637790422
2022-09-26,333.3449967298888,413.934633710542,0.21594761447520128,24.17604516979009
2022-10-03,327.250690734942,555.5885656970913,0.5280486882805944,69.77460443226153
2022-10-10,364.74681440443214,617.9133494169682,0.5260239479990219,69.40884060246361
2022-10-17,368.14098542166454,604.5480405808634,0.4949552548119369,64.21644547086242
2022-10-24,371.6797794117647,593.0395076434386,0.4662262776502297,59.556570062005164
2022-10-31,384.88964252978917,600.8930693069307,0.44452837538981704,56.12087281886874
2022-11-07,354.46886514369936,610.9106425702811,0.5431485980397941,72.34536023992457
2022-11-14,331.84788273615635,538.7216711752329,0.48336800592079143,62.33994525845945
2022-11-21,379.4438690586277,867.946065606762,0.8259424109249203,128.74162330256442
2022-11-28,378.7586461993712,817.0840707964602,0.7674291980044767,115.72684320092405
2022-12-05,486.5583163359911,804.0098870056497,0.5014446528008101,65.24430063393338
2022-12-12,550.1767217375162,736.9534180278282,0.29182521656835725,33.9484912593996
2022-12-19,422.856500155135,563.8379360465116,0.28714389622772796,33.34025510773848
2022-12-26,299.29136756856246,672.8685474189676,0.8082818298371084,124.8205662880755
2023-01-02,450.3980403031984,810.4634244372991,0.5864897913903144,79.9438167829754
2023-01-09,531.3158086893027,842.3563840448987,0.46015268696784073,58.54156233801865
2023-01-16,547.6915247964471,983.0810483870968,0.584171861931412,79.4953918179517
2023-01-23,591.2674828417734,1314.5021148036253,0.7980153461189028,122.3193652534066
2023-01-30,618.3555762081785,1398.8686868686868,0.8154541718277137,126.22399484883712
2023-02-06,682.039405204461,1558.5173948220065,0.8255791378846435,128.50840918125485
2023-02-13,784.3672264255398,1652.1758087201126,0.744302036768115,110.63804721281967
2023-02-20,740.8531650269166,1611.1127016129033,0.7761495019895097,117.46720911347776
2023-02-27,872.7930650843687,1680.9076426698932,0.654840349808576,92.58948196470924
2023-03-06,719.3818046234154,1585.944106925881,0.7897841449195182,120.4593022416096
2023-03-13,802.1696428571429,1608.346731707317,0.6950176659578284,100.49957587259944
2023-03-20,778.0614264376401,1588.0488684157822,0.7128010245601137,104.10327699789406
2023-03-27,749.7308400884303,1498.5484581497797,0.6918721283621201,99.87819334909935
2023-04-03,754.029792746114,1441.7162582652663,0.6475256971588657,91.20149788971271
2023-04-10,697.1997769931239,1448.437715211667,0.730425702326543,107.75074275819112
2023-04-17,758.9762037553448,1604.6692897497983,0.7480088296599696,111.4255073887747
2023-04-24,748.069641523525,1556.287074554295,0.7318685730274472,108.04040000670894
2023-05-01,639.4296641791045,1410.1585463258787,0.7900270086732224,120.53380149890774
2023-05-08,687.7728971962617,1524.4998986828773,0.7951658332584293,121.65745479322784
2023-05-15,724.4813775032753,1557.3243243243244,0.7645309683608792,114.9571228029645
2023-05-22,653.8347292015634,1542.0943624974743,0.8571621237416602,135.85384709995716
2023-05-29,630.215057702876,1467.216285998014,0.8441569071846029,132.81200092965
2023-06-05,672.2889809146561,1633.7995319812792,0.8871008357761863,143.02042400850868
2023-06-12,644.9487272727273,1662.1624731811976,0.9457560421810758,157.72009508568647
2023-06-19,601.4116917626218,1537.6492078285182,0.9377190877897226,155.67331478408155
2023-06-26,680.4444444444445,1659.0540216086436,0.890390695669045,143.81917365247864
2023-07-03,658.407772406099,1644.5392828364222,0.9144813233293911,149.77519278464527
2023-07-10,716.0406232609905,1726.7062135531871,0.8794174233424643,141.14640391342962
2023-07-17,782.7035855077905,1797.8289205702647,0.8308602633184519,129.69473423376445
2023-07-24,711.5664391173202,1391.5197706894016,0.6699970140028162,95.55725146558991
2023-07-31,882.1603265912044,2068.6132930513595,0.8516102994157642,134.49402911200752
2023-08-07,887.447265260407,2039.384708983979,0.8314183586095467,129.80348115508076
2023-08-14,776.2255485310525,1881.8136004857317,0.8847919435494083,142.4312886952665
2023-08-21,841.7047922126544,2028.140685181431,0.8787509651249907,140.95629535979012
2023-08-28,818.284481140927,1976.7990616075072,0.8813085450121791,141.57846166791202
2023-09-04,820.8852304797742,1900.9871323529412,0.8390537147373225,131.577699508845
2023-09-11,814.9904099285445,1954.2139506424637,0.8738523017438835,139.7836743641931
2023-09-18,868.7160470764057,2034.9133089133088,0.8505330219412821,134.24378031943195
2023-09-25,892.8185400638018,2097.4665306122447,0.8534593541993765,134.92640850204089
