Outcome,Diff_in_Discontinuity,Std_Err,P-value,N,Baseline_Adjusted
total_downloads_52wk,0.3962231998546455,0.294483412980287,0.17846845944008816,1303,False
cum_imports_52wk,0.2565038409487531,0.2919436025892989,0.3796141238838978,1303,False
cum_imports_52wk,0.16457683663055778,0.2724553269891858,0.5458099212068055,1303,True
post_ai_downloads_alltime,0.24456121135058284,0.5980008919145229,0.6825656207375457,1303,False
post_ai_downloads_alltime,-0.3124390543797344,0.46855453716967643,0.5048905001596364,1303,True
post_ai_imports_alltime,0.010595067147552095,0.5124624925749972,0.983505059569798,1303,False
post_ai_imports_alltime,-0.11016388466416388,0.4903896820549334,0.8222549872598005,1303,True
