Label,Outcome,Estimate,Std.Err,P-value,N,BW,Donut,Method,Baseline_Adjusted
Stacked Placebos (Mean),total_downloads_52wk,1.3067174024681807,0.3536875073775049,0.00022027355184889172,171795,26,Yes,WLS (cluster),No
Stacked Placebos (Median),total_downloads_52wk,3317.025001929658,68.81706805411334,0.0,180013,26,Yes,QuantReg(0.5),
Main 2021 (Mean),total_downloads_52wk,0.6086567138019832,0.35383920563764787,0.08540507411923016,76577,26,Yes,WLS (cluster),No
Main 2021 (Median),total_downloads_52wk,621.4999991244367,80.71943395102518,1.3813068754762108e-14,80928,26,Yes,QuantReg(0.5),
